PogId,ItemId,RelativeRank,seq,PreDeleteFlag
J288BD6,288076749,0,103,0
J288BDI,288076749,0,103,0
J288BEB,288076749,0,103,0
J288BET,288076749,0,103,0
J288BFO,288076749,0,103,0
J288BFS,288076749,0,103,0
J288BG8,288076749,0,103,0
J288BGL,288076749,0,103,0
J288BGQ,288076749,0,103,0
J288BHB,288076749,0,103,0
J288BHE,288076749,0,103,0
J288BHH,288076749,0,103,0
J288BHS,288076749,0,103,0
J288BIV,288076749,0,103,0
J288BIY,288076749,0,103,0
J288BIZ,288076749,0,103,0
J288BJ6,288076749,0,103,0
J288BJI,288076749,0,103,0
J288BJP,288076749,0,103,0
J288BK8,288076749,0,103,0
J288BKG,288076749,0,103,0
J288BKY,288076749,0,103,0
J288BL4,288076749,0,103,0
J288BLC,288076749,0,103,0
J288BLE,288076749,0,103,0
J288BLF,288076749,0,103,0
J288BLO,288076749,0,103,0
J288BLU,288076749,0,103,0
J288BM1,288076749,0,103,0
J288BMV,288076749,0,103,0
J288BN8,288076749,0,103,0
J288BNE,288076749,0,103,0
J288BO9,288076749,0,103,0
J288BOD,288076749,0,103,0
J288BOK,288076749,0,103,0
J288BP0,288076749,0,103,0
J288BPA,288076749,0,103,0
J288BQ4,288076749,0,103,0
J288BRF,288076749,0,103,0
J288BRH,288076749,0,103,0
J288BSC,288076749,0,103,0
J288BSP,288076749,0,103,0
J288BSZ,288076749,0,103,0
J288BU3,288076749,0,103,0
J288BUC,288076749,0,103,0
J288BUQ,288076749,0,103,0
J288BV4,288076749,0,103,0
J288BV6,288076749,0,103,0
J288BVF,288076749,0,103,0
J288BVT,288076749,0,103,0
J288BW0,288076749,0,103,0
J288BWA,288076749,0,103,0
J288BWB,288076749,0,103,0
J288BWL,288076749,0,103,0
J288BXG,288076749,0,103,0
J288BXQ,288076749,0,103,0
J288BZ8,288076749,0,103,0
J288C02,288076749,0,103,0
J288C0Z,288076749,0,103,0
J288C1Z,288076749,0,103,0
J288C22,288076749,0,103,0
J288C27,288076749,0,103,0
J288C2A,288076749,0,103,0
J288C2D,288076749,0,103,0
J288C2V,288076749,0,103,0
J288C2X,288076749,0,103,0
J288C3C,288076749,0,103,0
J288C3K,288076749,0,103,0
J288C3Y,288076749,0,103,0
J288C4A,288076749,0,103,0
J288C4C,288076749,0,103,0
J288C54,288076749,0,103,0
J288C5D,288076749,0,103,0
J288C5L,288076749,0,103,0
J288C5M,288076749,0,103,0
J288C6N,288076749,0,104,0
J288E57,288076749,0,104,0
J288E58,288076749,0,104,0
J288E59,288076749,0,104,0
J288BDL,288076749,0,107,0
J288BEH,288076749,0,107,0
J288BG0,288076749,0,107,0
J288BHG,288076749,0,107,0
J288BNC,288076749,0,107,0
J288BO1,288076749,0,107,0
J288BW7,288076749,0,107,0
J288C0O,288076749,0,107,0
J288BF7,288076749,0,109,0
J288BIL,288076749,0,109,0
J288BLL,288076749,0,109,0
J288BMM,288076749,0,109,0
J288BP6,288076749,0,109,0
J288BRX,288076749,0,109,0
J288BS6,288076749,0,109,0
J288BSE,288076749,0,109,0
J288BTS,288076749,0,109,0
J288BU0,288076749,0,109,0
J288C4T,288076749,0,109,0
J288BKW,288076749,0,112,0
J288BPD,288076749,0,112,0
J288BQT,288076749,0,112,0
J288BVG,288076749,0,112,0
J288C09,288076749,0,112,0
J288C64,288076749,0,112,0
J288C6B,288076749,0,112,0
J288C20,288076749,0,114,0
J288C4S,288076749,0,114,0
J288BD3,288074089,0,116,0
J288BD5,288074089,0,116,0
J288BDV,288074089,0,116,0
J288BE0,288074089,0,116,0
J288BFI,288074089,0,116,0
J288BGI,288074089,0,116,0
J288BGX,288074089,0,116,0
J288BJD,288074089,0,116,0
J288BKP,288074089,0,116,0
J288BLA,288074089,0,116,0
J288BLI,288074089,0,116,0
J288BMF,288074089,0,116,0
J288BN1,288074089,0,116,0
J288BO2,288074089,0,116,0
J288BOE,288074089,0,116,0
J288BP7,288074089,0,116,0
J288BRC,288074089,0,116,0
J288BRY,288074089,0,116,0
J288BS7,288074089,0,116,0
J288BTG,288074089,0,116,0
J288BTO,288074089,0,116,0
J288BTP,288074089,0,116,0
J288BUN,288074089,0,116,0
J288BV8,288074089,0,116,0
J288BVY,288074089,0,116,0
J288BW2,288074089,0,116,0
J288BX2,288074089,0,116,0
J288BXS,288074089,0,116,0
J288BXU,288074089,0,116,0
J288BXW,288074089,0,116,0
J288BYD,288074089,0,116,0
J288BYR,288074089,0,116,0
J288BZ7,288074089,0,116,0
J288BZC,288074089,0,116,0
J288BZQ,288074089,0,116,0
J288C0N,288074089,0,116,0
J288C0Q,288074089,0,116,0
J288C1E,288074089,0,116,0
J288C1T,288074089,0,116,0
J288C23,288074089,0,116,0
J288C2F,288074089,0,116,0
J288C2W,288074089,0,116,0
J288C40,288074089,0,116,0
J288C5P,288074089,0,116,0
J288C5Q,288074089,0,116,0
J288C5V,288074089,0,116,0
J288C5X,288074089,0,116,0
J288BIM,288074089,0,118,0
J288BIT,288074089,0,118,0
J288BXL,288074089,0,118,0
J288C0I,288074089,0,118,0
J288BD6,288071941,0,120,0
J288BDC,288071941,0,120,0
J288BDI,288071941,0,120,0
J288BDL,288071941,0,120,0
J288BDS,288071941,0,120,0
J288BEB,288071941,0,120,0
J288BEH,288071941,0,120,0
J288BEP,288071941,0,120,0
J288BET,288071941,0,120,0
J288BF7,288071941,0,120,0
J288BFO,288071941,0,120,0
J288BFS,288071941,0,120,0
J288BG0,288071941,0,120,0
J288BG8,288071941,0,120,0
J288BGL,288071941,0,120,0
J288BGQ,288071941,0,120,0
J288BHB,288071941,0,120,0
J288BHE,288071941,0,120,0
J288BHG,288071941,0,120,0
J288BHH,288071941,0,120,0
J288BHS,288071941,0,120,0
J288BIV,288071941,0,120,0
J288BIW,288071941,0,120,0
J288BIY,288071941,0,120,0
J288BIZ,288071941,0,120,0
J288BJI,288071941,0,120,0
J288BJP,288071941,0,120,0
J288BK8,288071941,0,120,0
J288BKG,288071941,0,120,0
J288BKW,288071941,0,120,0
J288BKY,288071941,0,120,0
J288BL4,288071941,0,120,0
J288BLC,288071941,0,120,0
J288BLE,288071941,0,120,0
J288BLF,288071941,0,120,0
J288BLL,288071941,0,120,0
J288BLO,288071941,0,120,0
J288BLU,288071941,0,120,0
J288BM1,288071941,0,120,0
J288BMM,288071941,0,120,0
J288BMV,288071941,0,120,0
J288BN8,288071941,0,120,0
J288BNC,288071941,0,120,0
J288BNE,288071941,0,120,0
J288BO1,288071941,0,120,0
J288BOD,288071941,0,120,0
J288BOK,288071941,0,120,0
J288BP0,288071941,0,120,0
J288BP6,288071941,0,120,0
J288BPA,288071941,0,120,0
J288BPC,288071941,0,120,0
J288BPD,288071941,0,120,0
J288BQ4,288071941,0,120,0
J288BQT,288071941,0,120,0
J288BRF,288071941,0,120,0
J288BRH,288071941,0,120,0
J288BRX,288071941,0,120,0
J288BS6,288071941,0,120,0
J288BSC,288071941,0,120,0
J288BSE,288071941,0,120,0
J288BSP,288071941,0,120,0
J288BSZ,288071941,0,120,0
J288BTS,288071941,0,120,0
J288BU0,288071941,0,120,0
J288BU3,288071941,0,120,0
J288BUA,288071941,0,120,0
J288BUC,288071941,0,120,0
J288BUQ,288071941,0,120,0
J288BV4,288071941,0,120,0
J288BV6,288071941,0,120,0
J288BVF,288071941,0,120,0
J288BVG,288071941,0,120,0
J288BVT,288071941,0,120,0
J288BW0,288071941,0,120,0
J288BW7,288071941,0,120,0
J288BWA,288071941,0,121,0
J288BWB,288071941,0,121,0
J288BWL,288071941,0,121,0
J288BXG,288071941,0,121,0
J288BXQ,288071941,0,121,0
J288BZ8,288071941,0,121,0
J288C02,288071941,0,121,0
J288C09,288071941,0,121,0
J288C0O,288071941,0,121,0
J288C0Z,288071941,0,121,0
J288C1Z,288071941,0,121,0
J288C20,288071941,0,121,0
J288C22,288071941,0,121,0
J288C27,288071941,0,121,0
J288C2A,288071941,0,121,0
J288C2D,288071941,0,121,0
J288C2V,288071941,0,121,0
J288C2X,288071941,0,121,0
J288C3C,288071941,0,121,0
J288C3K,288071941,0,121,0
J288C3Y,288071941,0,121,0
J288C4A,288071941,0,121,0
J288C4C,288071941,0,121,0
J288C4S,288071941,0,121,0
J288C4T,288071941,0,121,0
J288C54,288071941,0,121,0
J288C5D,288071941,0,121,0
J288C5L,288071941,0,121,0
J288C5M,288071941,0,121,0
J288C64,288071941,0,121,0
J288C6B,288071941,0,121,0
J288C6N,288071941,0,121,0
J288E57,288071941,0,121,0
J288E58,288071941,0,121,0
J288BDO,288071941,0,125,0
J288BJ6,288071941,0,125,0
J288BNR,288071941,0,125,0
J288BQX,288071941,0,125,0
J288BS2,288071941,0,125,0
J288BSK,288071941,0,125,0
J288C0X,288071941,0,125,0
J288C1C,288071941,0,125,0
J288C3M,288071941,0,125,0
J288BF2,288071941,0,127,0
J288BI3,288071941,0,127,0
J288BIL,288071941,0,127,0
J288BMH,288071941,0,127,0
J288BU2,288071941,0,127,0
J288BWR,288071941,0,127,0
J288BZX,288071941,0,127,0
J288E59,288071941,0,127,0
J288BNS,288071941,0,130,0
J288BZ9,288071941,0,130,0
J288BO9,288071941,0,132,0
J288BCW,288070834,0,134,0
J288BCX,288070834,0,134,0
J288BCY,288070834,0,134,0
J288BD4,288070834,0,134,0
J288BDR,288070834,0,134,0
J288BEE,288070834,0,134,0
J288BF5,288070834,0,134,0
J288BFF,288070834,0,134,0
J288BFG,288070834,0,134,0
J288BFJ,288070834,0,134,0
J288BFV,288070834,0,134,0
J288BFX,288070834,0,134,0
J288BG6,288070834,0,134,0
J288BGB,288070834,0,134,0
J288BGR,288070834,0,134,0
J288BH8,288070834,0,134,0
J288BHN,288070834,0,134,0
J288BHP,288070834,0,134,0
J288BHR,288070834,0,134,0
J288BHU,288070834,0,134,0
J288BHW,288070834,0,134,0
J288BI0,288070834,0,134,0
J288BIO,288070834,0,134,0
J288BIR,288070834,0,134,0
J288BJ2,288070834,0,134,0
J288BJ7,288070834,0,134,0
J288BJ8,288070834,0,134,0
J288BJN,288070834,0,134,0
J288BJU,288070834,0,134,0
J288BJW,288070834,0,134,0
J288BJZ,288070834,0,134,0
J288BK2,288070834,0,134,0
J288BK7,288070834,0,134,0
J288BK9,288070834,0,134,0
J288BKD,288070834,0,134,0
J288BLP,288070834,0,134,0
J288BLV,288070834,0,134,0
J288BMC,288070834,0,134,0
J288BMF,288070834,0,134,0
J288BN5,288070834,0,134,0
J288BN9,288070834,0,134,0
J288BNP,288070834,0,134,0
J288BNT,288070834,0,134,0
J288BOT,288070834,0,134,0
J288BOU,288070834,0,134,0
J288BPB,288070834,0,134,0
J288BPG,288070834,0,134,0
J288BQ0,288070834,0,134,0
J288BQ5,288070834,0,134,0
J288BQ9,288070834,0,134,0
