PogId,ItemId,FaceValue,seq
J288BD6,288073032,2,105
J288BDI,288073032,2,105
J288BEB,288073032,2,105
J288BET,288073032,2,105
J288BFO,288073032,2,105
J288BFS,288073032,2,105
J288BG8,288073032,2,105
J288BGL,288073032,2,105
J288BGQ,288073032,2,105
J288BHB,288073032,2,105
J288BHE,288073032,2,105
J288BHH,288073032,2,105
J288BHS,288073032,2,105
J288BIV,288073032,2,105
J288BIY,288073032,2,105
J288BIZ,288073032,2,105
J288BJ6,288073032,2,105
J288BJI,288073032,2,105
J288BJP,288073032,2,105
J288BK8,288073032,2,105
J288BKG,288073032,2,105
J288BKY,288073032,2,105
J288BL4,288073032,2,105
J288BLC,288073032,2,105
J288BLE,288073032,2,105
J288BLF,288073032,2,105
J288BLO,288073032,2,105
J288BLU,288073032,2,105
J288BM1,288073032,2,105
J288BMV,288073032,2,105
J288BN8,288073032,2,105
J288BNE,288073032,2,105
J288BO9,288073032,2,105
J288BOD,288073032,2,105
J288BOK,288073032,2,105
J288BP0,288073032,2,105
J288BPA,288073032,2,105
J288BQ4,288073032,2,105
J288BRF,288073032,2,105
J288BRH,288073032,2,105
J288BSC,288073032,2,105
J288BSP,288073032,2,105
J288BSZ,288073032,2,105
J288BU3,288073032,2,105
J288BUC,288073032,2,105
J288BUQ,288073032,2,105
J288BV4,288073032,2,105
J288BV6,288073032,2,105
J288BVF,288073032,2,105
J288BVT,288073032,2,105
J288BW0,288073032,2,105
J288BWA,288073032,2,105
J288BWB,288073032,2,105
J288BWL,288073032,2,105
J288BXG,288073032,2,105
J288BXQ,288073032,2,105
J288BZ8,288073032,2,105
J288C02,288073032,2,105
J288C0Z,288073032,2,105
J288C1Z,288073032,2,105
J288C22,288073032,2,105
J288C27,288073032,2,105
J288C2A,288073032,2,105
J288C2D,288073032,2,105
J288C2V,288073032,2,105
J288C2X,288073032,2,105
J288C3C,288073032,2,105
J288C3K,288073032,2,105
J288C3Y,288073032,2,105
J288C4A,288073032,2,105
J288C4C,288073032,2,105
J288C54,288073032,2,105
J288C5D,288073032,2,105
J288C5L,288073032,2,105
J288C5M,288073032,2,105
J288C6N,288073032,2,106
J288E57,288073032,2,106
J288E58,288073032,2,106
J288E59,288073032,2,106
J288BDL,288071235,2,108
J288BEH,288071235,2,108
J288BG0,288071235,2,108
J288BHG,288071235,2,108
J288BNC,288071235,2,108
J288BO1,288071235,2,108
J288BW7,288071235,2,108
J288C0O,288071235,2,108
J288BF7,288072897,2,110
J288BIL,288072897,2,110
J288BMM,288072897,2,110
J288BP6,288072897,2,110
J288BS6,288072897,2,110
J288BU0,288072897,2,110
J288BLL,288072897,3,111
J288BRX,288072897,3,111
J288BSE,288072897,3,111
J288BTS,288072897,3,111
J288C4T,288072897,3,111
J288BKW,288073497,2,113
J288BPD,288073497,2,113
J288BQT,288073497,2,113
J288BVG,288073497,2,113
J288C09,288073497,2,113
J288C64,288073497,2,113
J288C6B,288073497,2,113
J288C20,288079163,2,115
J288C4S,288079163,2,115
J288BD3,288073306,2,117
J288BD5,288073306,2,117
J288BDV,288073306,2,117
J288BE0,288073306,2,117
J288BFI,288073306,2,117
J288BGI,288073306,2,117
J288BGX,288073306,2,117
J288BJD,288073306,2,117
J288BKP,288073306,2,117
J288BLA,288073306,2,117
J288BLI,288073306,2,117
J288BMF,288073306,2,117
J288BN1,288073306,2,117
J288BO2,288073306,2,117
J288BOE,288073306,2,117
J288BP7,288073306,2,117
J288BRC,288073306,2,117
J288BRY,288073306,2,117
J288BS7,288073306,2,117
