PogId,ExistingItemId,CutInItemId,orientation,seq
J288BKB,288079629,288079629,LeftofPosition,75
J288BNL,288079629,288079629,LeftofPosition,75
J288BPF,288079629,288079629,LeftofPosition,75
J288BOO,288079629,288079629,LeftofPosition,75
J288BSM,288079629,288079629,LeftofPosition,75
J288BW1,288079629,288079629,LeftofPosition,75
J288BX3,288079629,288079629,LeftofPosition,75
J288BXY,288079629,288079629,LeftofPosition,75
J288C1S,288079629,288079629,LeftofPosition,75
J288C5E,288079629,288079629,LeftofPosition,75
J288C4P,288079629,288079629,LeftofPosition,75
J288BDG,288070875,288070168,LeftofPosition,161
J288BED,288070875,288070168,LeftofPosition,161
J288BFU,288070875,288070168,LeftofPosition,161
J288BG4,288070875,288070168,LeftofPosition,161
J288BGE,288070875,288070168,LeftofPosition,161
J288BGH,288070875,288070168,LeftofPosition,161
J288BGV,288070875,288070168,LeftofPosition,161
J288BIT,288070875,288070168,LeftofPosition,161
J288BJJ,288070875,288070168,LeftofPosition,161
J288BJR,288070875,288070168,LeftofPosition,161
J288BKC,288070875,288070168,LeftofPosition,161
J288BKT,288070875,288070168,LeftofPosition,161
J288BLH,288070875,288070168,LeftofPosition,161
J288BMY,288070875,288070168,LeftofPosition,161
J288BNZ,288070875,288070168,LeftofPosition,161
J288BO5,288070875,288070168,LeftofPosition,161
J288BO6,288070875,288070168,LeftofPosition,161
J288BOJ,288070875,288070168,LeftofPosition,161
J288BOQ,288070875,288070168,LeftofPosition,161
J288BPJ,288070875,288070168,LeftofPosition,161
J288BPT,288070875,288070168,LeftofPosition,161
J288BPW,288070875,288070168,LeftofPosition,161
J288BQG,288070875,288070168,LeftofPosition,161
J288BSL,288070875,288070168,LeftofPosition,161
J288BSO,288070875,288070168,LeftofPosition,161
J288BTH,288070875,288070168,LeftofPosition,161
J288BTJ,288070875,288070168,LeftofPosition,161
J288BTN,288070875,288070168,LeftofPosition,161
J288BTZ,288070875,288070168,LeftofPosition,161
J288BUL,288070875,288070168,LeftofPosition,161
J288BUS,288070875,288070168,LeftofPosition,161
J288BVM,288070875,288070168,LeftofPosition,161
J288BXK,288070875,288070168,LeftofPosition,161
J288BYU,288070875,288070168,LeftofPosition,161
J288BZA,288070875,288070168,LeftofPosition,161
J288C05,288070875,288070168,LeftofPosition,161
J288C0A,288070875,288070168,LeftofPosition,161
J288C1F,288070875,288070168,LeftofPosition,161
J288C1K,288070875,288070168,LeftofPosition,161
J288C2J,288070875,288070168,LeftofPosition,161
J288C2P,288070875,288070168,LeftofPosition,161
J288C2T,288070875,288070168,LeftofPosition,161
J288C59,288070875,288070168,LeftofPosition,161
J288C5C,288070875,288070168,LeftofPosition,161
J288C5S,288070875,288070168,LeftofPosition,161
J288C5U,288070875,288070168,LeftofPosition,161
J288BE1,288070867,288070168,LeftofPosition,163
J288BEO,288070867,288070168,LeftofPosition,163
J288BEU,288070867,288070168,LeftofPosition,163
J288BF6,288070867,288070168,LeftofPosition,163
J288BFJ,288070867,288070168,LeftofPosition,163
J288BFL,288070867,288070168,LeftofPosition,163
